clip_id,audio_path,language,is_native,accent_region,age,gender,sentence,speaker_id,duration_sec,sample_rate,augmented,aug_type,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,spectral_rolloff,silence_ratio,energy_band_1,energy_band_2,energy_band_3,energy_band_4,energy_band_5,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_2_mean,delta_mfcc_3_mean,delta_mfcc_4_mean,delta_mfcc_5_mean,delta_mfcc_6_mean,delta_mfcc_7_mean,delta_mfcc_8_mean,delta_mfcc_9_mean,delta_mfcc_10_mean,delta_mfcc_11_mean,delta_mfcc_12_mean,delta_mfcc_13_mean,chroma_mean,chroma_std,mel_mean,mel_std,f0_mean,f0_std,voiced_fraction,spectral_contrast_mean,tempo
pl_000131_aug3,accent_dataset_output/audio_augmented/pl_000131_aug3.wav,pl,1,unknown,unknown,unknown,wrzaskiem trwożliwym swoich wskróś przejęty mruczysław prosto na ten odgłos leci za jednym razem gom,6892,10.0,16000,True,degraded_codec,0.073586,0.113901,417.22,449.01,560.9,0.3352,0.515238,0.424592,0.04129,0.017771,0.001109,-309.4631,122.0888,122.0415,70.6531,-20.4786,36.2243,66.1281,39.1072,-4.7744,23.1021,-2.8826,21.8155,-20.4221,23.1541,-18.8699,18.3605,-7.711,12.1219,-1.9744,11.3482,-10.3351,9.6776,-4.1958,8.2573,0.4289,8.4614,1.2756,0.5231,-0.0899,0.3148,-0.0767,-0.0166,-0.089,-0.1315,0.0019,-0.0656,-0.0429,-0.0196,0.0184,0.3626,0.3176,-48.2707,21.2369,134.6,20.62,0.8019,23.7496,133.93
pl_000090,accent_dataset_output/audio_original/pl_000090.wav,pl,1,unknown,unknown,unknown,co niegdyś prawa obowiązek ścisły sarmatów sercem i myślą kierował a zagrzewając wspaniałe umysły w ,6892,10.0,16000,False,original,0.180332,0.157882,486.52,619.55,589.3,0.3127,0.361299,0.573357,0.035194,0.020151,0.009999,-211.4182,119.537,107.2762,84.9183,1.6702,46.0118,43.1112,35.3101,-16.3963,20.9136,-19.1226,17.5015,-8.5195,19.5402,-9.5446,18.4248,-20.2598,11.5664,3.212,12.2319,-10.3688,10.5481,-9.3242,11.4885,4.446,10.1254,0.1304,0.2038,0.1885,0.1136,0.0634,0.0309,-0.0108,-0.0379,-0.0586,-0.0647,-0.056,-0.0696,-0.0577,0.3034,0.3147,-46.0184,20.2066,152.69,22.81,0.7827,19.7269,98.68
it_000059_aug3,accent_dataset_output/audio_augmented/it_000059_aug3.wav,it,0,roumain,unknown,unknown,onde vedendo la vaga alteria il lei enimma irresolubile rimanere umanamente disse altro non è signor,6001,10.0,16000,True,degraded_codec,0.066193,0.124804,335.39,310.38,428.6,0.2477,0.722105,0.235055,0.034264,0.008135,0.000441,-240.6722,22.1262,109.2598,21.4056,-53.049,12.7805,53.4246,10.2575,-25.5044,6.9451,11.7788,6.6675,-9.8248,6.1088,-2.0751,5.3294,-3.9059,5.6548,-5.0031,5.5448,-3.0124,5.7019,-7.0696,5.105,-1.721,4.8215,0.2132,0.2362,0.0962,0.0301,-0.0272,-0.0791,-0.048,0.004,0.0024,-0.0133,-0.0129,-0.0359,-0.0518,0.3922,0.3721,-43.4424,14.4347,227.89,41.4,0.6933,22.8089,133.93
pl_000005_aug3,accent_dataset_output/audio_augmented/pl_000005_aug3.wav,pl,1,unknown,unknown,unknown,gdybym był królem lub jaśnie wielmożnym chciałbym mieć serca sług albo poddanych miłość powszechna c,6892,10.0,16000,True,degraded_codec,0.160931,0.173192,371.03,447.76,469.9,0.3255,0.598694,0.357146,0.029036,0.010576,0.004548,-197.4198,46.0457,117.6683,62.1459,-21.4478,27.4085,61.9373,38.8932,-21.0787,20.985,8.6304,26.0397,-32.6927,22.2729,6.1868,20.5386,-10.2986,17.1571,-16.0459,13.9697,-4.2742,14.6048,-17.7306,12.6169,8.6393,12.1435,0.1833,0.2881,0.1178,0.1401,0.0934,-0.1085,-0.0167,0.0533,0.1412,-0.0311,-0.077,-0.0244,-0.0031,0.4021,0.336,-42.9288,17.7138,142.75,29.72,0.6965,23.4717,85.23
fr_000012_aug1,accent_dataset_output/audio_augmented/fr_000012_aug1.wav,fr,1,marseille,unknown,unknown,mais le jour étant déjà fort avancé ses disciples vinrent à lui et lui dirent ce lieu est désert et ,10065,10.0,16000,True,noise_ambient,0.07196,0.119388,482.67,290.92,579.0,0.3615,0.119738,0.809995,0.064574,0.005428,0.000264,-257.5404,47.7712,134.3797,37.2876,-69.5743,14.5825,0.7467,23.033,-21.3958,13.1042,-20.1252,11.4661,-23.7006,11.5294,-22.3052,9.1237,-13.7321,6.8853,-21.7143,10.1074,-12.4626,8.6416,-13.6371,6.4165,-8.7,7.3867,0.3508,0.2617,0.0628,0.0584,-0.0128,-0.0796,-0.0692,0.0439,0.004,-0.0239,0.0623,0.0032,0.005,0.4924,0.3197,-47.3613,17.2907,115.19,15.86,0.2748,23.8783,170.45
es_000126,accent_dataset_output/audio_original/es_000126.wav,es,1,mexicain,unknown,unknown,un marinero que ostentaba una gorra encarnada y que se había puesto la cuchilla entre los dientes ha,8882,10.0,16000,False,original,0.128871,0.116801,485.5,1038.78,618.2,0.2688,0.634329,0.286938,0.040481,0.013159,0.025092,-204.9281,105.2598,112.2124,58.3113,18.8947,37.6981,16.1435,27.4412,18.3421,17.4242,-25.3699,16.5643,9.5152,15.4479,-1.6205,13.8373,-0.1663,13.7042,2.583,11.6284,-14.9221,12.0086,-3.4103,10.1168,-11.1236,12.5519,1.2065,0.6214,-0.1057,0.0021,0.0468,-0.1054,-0.0127,0.0143,-0.0937,0.0843,-0.0516,-0.0259,-0.0478,0.3929,0.3096,-45.1407,17.5433,111.29,23.98,0.7955,19.0726,110.29
fr_000072_aug2,accent_dataset_output/audio_augmented/fr_000072_aug2.wav,fr,1,lyon,unknown,unknown,lui mit encore une fois les mains sur les yeux et il commença à mieux voir et enfîti il fut tellemen,10065,10.0,16000,True,pitch_time_shift,0.129425,0.091132,402.03,778.99,379.3,0.3917,0.709121,0.228083,0.019849,0.017238,0.025709,-257.5124,127.4335,100.9248,47.8234,-3.1179,23.4627,50.7813,38.6232,-1.1711,21.9143,19.3868,16.4842,-6.3527,14.5005,-0.2817,12.7468,3.9076,11.8614,-9.292,12.9837,-7.255,15.148,3.1178,8.9714,-10.0808,11.1758,0.0716,-0.0834,-0.1097,0.0713,-0.0203,-0.0236,0.0658,-0.0122,-0.0129,0.0255,-0.0239,0.0269,-0.0043,0.3939,0.3315,-49.093,18.304,120.22,29.86,0.77,21.0412,187.5
es_000137_aug3,accent_dataset_output/audio_augmented/es_000137_aug3.wav,es,1,andalou,unknown,unknown,bultos de bizcochos galletas jamón una damajuana de cognac y mi inestimable estuche de cirujía entre,8882,10.0,16000,True,degraded_codec,0.077184,0.173779,364.61,704.53,485.5,0.17,0.742069,0.18275,0.039097,0.023003,0.013081,-172.0136,35.8377,82.9717,19.3755,-29.1393,16.2621,56.5229,16.1267,-31.0419,11.0599,35.9743,12.7496,-24.2855,9.3917,19.4569,8.491,-16.6046,7.084,3.8209,7.6496,-4.1654,6.4738,-3.6664,5.3653,4.3938,6.1851,0.1481,0.1507,0.1789,0.0581,0.0955,0.0185,0.0129,-0.0358,0.0096,-0.0077,-0.0054,-0.0293,-0.0057,0.456,0.3333,-37.6919,13.0856,112.02,19.51,0.8882,18.6164,98.68
pt_000086_aug3,accent_dataset_output/audio_augmented/pt_000086_aug3.wav,pt,1,lisbon,unknown,unknown,olhavam correr a creança a sua caridade amorosa colhia os fructos amargos de chanaan havia dois anno,12249,10.0,16000,True,degraded_codec,0.060335,0.084213,621.31,491.84,1031.5,0.3628,0.309363,0.453769,0.216182,0.020605,8.2e-05,-348.4624,108.3753,119.5602,51.3297,-31.1639,47.0849,33.7858,37.9324,-12.3688,23.4616,-10.6472,21.3009,0.0925,11.8121,-17.638,16.435,-2.9927,16.0235,-2.7123,8.7984,-9.9046,9.5022,-8.0195,10.9178,0.3573,8.8101,0.115,0.2313,0.0473,-0.0799,0.0326,-0.0532,-0.0758,-0.01,0.0674,0.0098,-0.0966,-0.0205,0.0184,0.316,0.3274,-52.8608,20.3687,196.58,55.34,0.869,24.084,117.19
pl_000048_aug3,accent_dataset_output/audio_augmented/pl_000048_aug3.wav,pl,1,unknown,unknown,unknown,takie nieszczęście dobrych królów czeka nie był w ich liczbie popiel rozpieszczony sam wojnę zaczął ,6892,10.0,16000,True,degraded_codec,0.149078,0.271742,700.19,1244.18,618.6,0.1472,0.464746,0.410894,0.0388,0.036204,0.049356,-55.6547,28.0865,40.3645,22.9347,5.7658,14.8837,24.1417,12.1026,-8.3172,8.424,7.2963,11.0255,-18.7497,6.9454,5.9815,10.981,-18.5436,7.165,3.0016,10.4417,-16.3353,5.4497,5.9951,6.3387,-12.4868,5.8068,-0.0644,-0.0243,0.0716,0.0415,0.0195,0.0489,-0.0082,0.0421,-0.0155,0.0214,0.0029,-0.0277,-0.0033,0.4716,0.3318,-31.1047,7.0885,134.55,34.65,0.7764,17.625,133.93
pt_000112,accent_dataset_output/audio_original/pt_000112.wav,pt,1,lisbon,unknown,unknown,ao menos temos a benignidade da calma e a tranquillidade da familia e por quanto tempo não sei o cli,12249,10.0,16000,False,original,0.115505,0.11987,550.77,689.47,698.0,0.3855,0.484857,0.391249,0.067397,0.04683,0.009666,-259.1311,123.8107,79.0674,49.7674,1.2514,36.3149,36.0213,43.3237,-21.8664,28.1132,-0.3202,21.975,-14.117,19.0893,-4.4625,13.195,-9.5325,15.3623,-5.7748,15.3746,3.3863,12.8767,-7.1871,19.4397,3.0078,13.8312,-0.1617,0.3125,0.3392,0.1422,0.1074,-0.0585,0.0927,0.1315,0.0213,-0.0566,0.0654,0.0288,0.0057,0.3404,0.3277,-52.1275,18.1829,243.14,122.71,0.7923,18.8185,117.19
pl_000046,accent_dataset_output/audio_original/pl_000046.wav,pl,1,unknown,unknown,unknown,pewnieby była zębami zgrzytała do guseł zatem i czarodziejstw sławnych skrzętnie się baba natychmias,6892,10.0,16000,False,original,0.151454,0.150226,453.06,579.45,597.8,0.3402,0.373639,0.584144,0.02138,0.012646,0.00819,-234.5518,133.9096,95.0438,76.2202,18.6742,32.6522,37.9728,34.9285,-13.5246,19.6559,-19.8968,20.5783,-12.4828,18.1048,-7.008,18.6379,-13.3883,12.8246,-0.7756,13.6313,-12.9684,11.1362,2.692,11.2662,-4.4133,10.8076,1.3151,0.2885,0.1758,0.1556,0.0762,-0.1059,-0.0345,0.0241,-0.1124,-0.0041,-0.0465,0.0518,-0.0275,0.3592,0.3138,-49.2482,19.7762,140.22,24.9,0.6038,18.8493,170.45
pt_000031_aug2,accent_dataset_output/audio_augmented/pt_000031_aug2.wav,pt,1,lisbon,unknown,unknown,e o primeiro passo e um grande bem que o exercito a magistratura o governo o parlamento a diplomacia,12249,10.0,16000,True,pitch_time_shift,0.106749,0.137163,744.71,711.16,1589.0,0.3486,0.30378,0.43794,0.175309,0.079129,0.003842,-283.6162,125.3567,79.2623,55.2667,-21.9741,46.3039,38.1748,36.5238,-16.0744,24.1957,-12.9386,18.6224,-15.7869,19.4414,-2.0139,13.823,-6.3211,12.2982,-8.4979,14.1495,-5.2615,11.3668,-1.762,9.9208,-12.7195,11.5563,-0.3162,-0.0116,0.0948,-0.0786,-0.0088,0.002,0.0542,0.095,-0.0135,0.0024,-0.029,-0.0271,0.0292,0.3061,0.3232,-48.2966,19.5057,218.59,50.57,0.8179,23.7099,133.93
nl_000000_aug3,accent_dataset_output/audio_augmented/nl_000000_aug3.wav,nl,0,unknown,unknown,unknown,de inhoud van dien brief wettigt een nader onderzoek en daartoe heb ik mijn stem gegeven maar ik gee,2450,10.0,16000,True,degraded_codec,0.054078,0.345115,1058.71,1413.22,1722.9,0.1637,0.13498,0.569184,0.157815,0.079794,0.058227,-143.9162,37.1235,22.7476,23.8881,6.8855,15.5284,8.3441,11.1895,1.2916,7.0285,-5.7667,9.6487,-9.8686,9.1569,-8.1003,8.5984,-6.8279,7.9692,-5.9359,8.8165,-3.0723,5.0122,-3.8825,6.4091,-2.349,4.8445,0.0173,-0.0116,0.0023,0.0108,-0.0048,0.0045,0.0124,0.0009,-0.0119,-0.009,-0.01,-0.0129,-0.0078,0.5403,0.3187,-34.3091,6.5665,137.03,44.4,0.3355,14.7099,187.5
pt_000047_aug2,accent_dataset_output/audio_augmented/pt_000047_aug2.wav,pt,1,bresilien,unknown,unknown,arrancando o marido das scismas em que estava foi-se reclinando suavemente para elle maciel etername,12249,10.0,16000,True,pitch_time_shift,0.113057,0.201514,883.05,959.99,1605.9,0.354,0.205111,0.473978,0.228626,0.078002,0.014283,-247.4554,121.0805,46.6517,49.6704,2.8995,48.4189,25.7262,33.9441,-21.2106,27.6239,-3.6288,19.5079,-8.6552,19.3073,-9.0964,18.1134,-9.9607,15.2922,-1.1136,13.1891,-11.5571,12.8159,-0.9165,11.0881,-0.5183,12.9986,-0.4952,-0.1363,0.1772,0.0711,0.1156,0.0443,0.0559,-0.0744,-0.0128,-0.0191,0.0397,-0.0554,0.114,0.3115,0.3244,-51.001,17.3198,255.42,106.74,0.8339,20.3377,110.29
pl_000054,accent_dataset_output/audio_original/pl_000054.wav,pl,1,unknown,unknown,unknown,okrzyki trzoda nikczemna roskosznie się pasła przy słodkiem brzmieniu przyjemnej muzyki miedziane br,6892,10.0,16000,False,original,0.169936,0.126801,434.13,584.73,527.8,0.2966,0.47773,0.467517,0.023332,0.023412,0.008009,-215.6915,109.7605,106.4717,69.205,4.6863,42.6587,55.1154,37.0497,-12.4718,21.094,-16.5597,20.6263,-9.3844,19.6377,-7.9408,15.5159,-23.1971,14.7512,0.7536,11.2764,-9.9422,11.3502,-13.9409,10.0275,1.7591,8.8955,1.2319,0.3976,-0.2032,0.2223,0.0002,-0.0739,-0.1291,-0.0225,-0.0634,0.0639,-0.0139,-0.0477,0.0282,0.3258,0.3171,-48.1404,19.7,155.41,33.68,0.6997,19.546,133.93
fr_000004,accent_dataset_output/audio_original/fr_000004.wav,fr,1,lyon,unknown,unknown,or afin que vous sachiez que le fils de itiomme a sur la terre le pouvoir de remettre les péchés lev,10065,10.0,16000,False,original,0.1374,0.089926,510.06,846.95,562.3,0.4306,0.502364,0.403735,0.04468,0.018317,0.030904,-276.9594,172.4626,91.4916,64.7431,2.7394,28.4516,44.2872,32.4683,-0.5454,20.5742,15.5095,12.5678,-8.6242,17.472,-1.8712,15.8066,-0.9023,11.892,-7.8961,13.9715,-0.0959,12.133,1.1,8.2891,-5.7164,9.7467,0.0868,0.0991,0.0581,0.0366,0.0312,0.0248,0.0161,0.0151,0.0158,0.0102,0.0063,0.0036,-0.0016,0.4447,0.3211,-52.1709,21.5723,107.16,20.95,0.7859,17.5924,117.19
pl_000008_aug1,accent_dataset_output/audio_augmented/pl_000008_aug1.wav,pl,1,unknown,unknown,unknown,trucizną kraju są grzechy monarsze dwór pański źródłem występków lub cnoty lud w obieraniu prosty i ,6892,10.0,16000,True,noise_ambient,0.215574,0.196939,494.11,641.31,560.2,0.3234,0.383968,0.53222,0.038967,0.036644,0.008202,-146.5805,70.0132,61.8105,55.981,11.1885,30.5899,18.4288,31.275,-10.8174,15.2775,-20.2157,17.0122,-15.9682,11.4442,-17.5585,13.7185,-26.1002,13.1358,-9.444,10.7178,-15.6244,9.2359,-20.152,9.729,-8.729,7.6737,0.6577,0.5183,-0.0002,-0.1291,-0.0669,-0.0144,-0.0394,-0.0863,-0.0342,0.04,0.0209,-0.0116,-0.0298,0.387,0.343,-45.1205,13.6647,152.85,31.72,0.5687,20.1808,156.25
pt_000135_aug2,accent_dataset_output/audio_augmented/pt_000135_aug2.wav,pt,1,lisbon,unknown,unknown,posso accrescentar mesmo não ha dois brasileiros cguaes sobre cada um de nós seria fútil erguer o qu,12249,10.0,16000,True,pitch_time_shift,0.149194,0.147204,635.14,724.01,924.9,0.4396,0.374329,0.407913,0.170155,0.035546,0.012057,-268.3597,157.7021,56.5405,60.4108,5.9108,40.1452,26.9374,32.3516,-14.9746,31.5765,-1.3217,17.9739,-11.2976,16.7013,0.2641,10.9973,-7.5396,14.8195,-4.4303,12.0703,-0.6157,9.4158,-6.7439,15.8191,0.1882,9.3352,-0.0139,-0.0194,-0.0188,-0.0179,-0.0167,-0.0152,-0.0135,-0.0118,-0.01,-0.0083,-0.0067,-0.0052,-0.0039,0.2809,0.321,-52.9356,20.3692,201.16,48.8,0.7157,20.2299,78.12
it_000026_aug1,accent_dataset_output/audio_augmented/it_000026_aug1.wav,it,0,roumain,unknown,unknown,ma la moglie contrastando col marito con giuramento affermava sé aver veduto con gli occhi propi gra,6001,10.0,16000,True,noise_ambient,0.124368,0.100569,326.58,252.29,448.2,0.3717,0.681714,0.268892,0.046563,0.002767,6.4e-05,-225.1136,38.9912,126.0956,31.3348,-39.7536,16.7425,31.8365,14.9652,-14.568,11.8531,-0.2576,11.5649,-5.6641,8.2789,-6.7005,7.9697,-4.8167,8.6379,-6.2588,7.3582,-6.4118,6.8717,-11.11,7.4991,-4.8332,5.8884,0.3188,0.2403,-0.0142,-0.0307,0.0054,-0.013,-0.0149,0.0093,0.029,0.0225,-0.0296,-0.04,-0.0351,0.3664,0.3622,-49.4082,15.6913,214.49,50.09,0.8243,23.3293,110.29
